arm,testset,timestamp,n_items,n_abstain,acc_overall,acc_secondary,acc_clear,acc_subtle,acc_adversarial,acc_stage_0,acc_stage_1,acc_stage_2,acc_stage_3,acc_stage_4,n_clear,n_subtle,n_adversarial,n_stage_0,n_stage_1,n_stage_2,n_stage_3,n_stage_4
def_only,cv_vaamr_v1,2026-06-11T02:52:28Z,109,0,0.3303,0.6147,0.3276,0.3448,0.3182,0.4545,0.4091,0.4091,0.05,0.3043,58,29,22,22,22,22,20,23
def_exemplars,cv_vaamr_v1,2026-06-11T02:52:28Z,109,0,0.422,0.6422,0.431,0.4828,0.3182,0.4545,0.5909,0.5455,0.1,0.3913,58,29,22,22,22,22,20,23
exemplars_only,cv_vaamr_v1,2026-06-11T02:52:29Z,109,0,0.4495,0.633,0.5862,0.4483,0.0909,0.2727,0.7727,0.4545,0.3,0.4348,58,29,22,22,22,22,20,23
def_criteria,cv_vaamr_v1,2026-06-11T02:52:30Z,109,0,0.3028,0.5596,0.3103,0.3103,0.2727,0.2727,0.4545,0.4091,0.0,0.3478,58,29,22,22,22,22,20,23
def_exemplars_qprefix,cv_vaamr_v1,2026-06-11T02:52:30Z,109,0,0.4128,0.6697,0.4483,0.4138,0.3182,0.3636,0.5909,0.5,0.1,0.4783,58,29,22,22,22,22,20,23
