arm,testset,timestamp,n_items,n_abstain,acc_overall,acc_secondary,acc_clear,acc_subtle,acc_adversarial,acc_stage_0,acc_stage_1,acc_stage_2,acc_stage_3,acc_stage_4,n_clear,n_subtle,n_adversarial,n_stage_0,n_stage_1,n_stage_2,n_stage_3,n_stage_4
qwen2.5-0.5b-instruct,cv_vaamr_v1,2026-06-11T02:57:54Z,109,23,0.2018,0.2018,0.2414,0.1724,0.1364,0.3636,0.1364,0.1364,0.15,0.2174,58,29,22,22,22,22,20,23
nvidia/nemotron-3-nano-4b,cv_vaamr_v1,2026-06-11T03:25:48Z,109,0,0.789,0.789,0.8448,0.8621,0.5455,0.5455,0.9091,0.9545,0.65,0.8696,58,29,22,22,22,22,20,23
google/gemma-4-e2b,cv_vaamr_v1,2026-06-11T14:23:43Z,109,1,0.6881,0.6881,0.6724,0.8621,0.5,0.5455,0.7273,0.9091,0.5,0.7391,58,29,22,22,22,22,20,23
google/gemma-2-9b,cv_vaamr_v1,2026-06-11T15:01:05Z,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,29,22,22,22,22,20,23
qwen/qwen3-8b,cv_vaamr_v1,2026-06-11T15:28:48Z,109,1,0.7615,0.7615,0.8103,0.931,0.4091,0.5909,0.9091,0.9091,0.55,0.8261,58,29,22,22,22,22,20,23
deepseek-v4-flash,cv_vaamr_v1,2026-06-11T23:12:25Z,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,29,22,22,22,22,20,23
google/gemma-2-9b,cv_vaamr_v1,2026-06-12T14:27:31Z,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,29,22,22,22,22,20,23
